View "u " {
VT (0.829400,1.107949,0,0.821371,1.103283,0,0.829623,1.091974,0) {1.301468,-0.974259,0,1.312125,-0.976849,0,1.306411,-0.992540,0};
VT (0.821371,1.103283,0,0.821594,1.087309,0,0.829623,1.091974,0) {1.312125,-0.976849,0,1.317236,-0.995331,0,1.306411,-0.992540,0};
VT (0.821371,1.103283,0,0.813343,1.098618,0,0.821594,1.087309,0) {1.312125,-0.976849,0,1.322936,-0.979413,0,1.317236,-0.995331,0};
VT (0.829623,1.091974,0,0.821594,1.087309,0,0.829845,1.076000,0) {1.306411,-0.992539,0,1.317236,-0.995331,0,1.311187,-1.011229,0};
VT (0.813343,1.098618,0,0.813565,1.082643,0,0.821594,1.087309,0) {1.322936,-0.979413,0,1.328213,-0.998101,0,1.317236,-0.995331,0};
VT (0.813565,1.082643,0,0.821816,1.071334,0,0.821594,1.087309,0) {1.328213,-0.998101,0,1.322172,-1.014233,0,1.317236,-0.995331,0};
VT (0.813565,1.082643,0,0.813787,1.066669,0,0.821816,1.071334,0) {1.328213,-0.998101,0,1.333313,-1.017216,0,1.322172,-1.014232,0};
VT (0.821594,1.087309,0,0.821816,1.071334,0,0.829845,1.076000,0) {1.317236,-0.995331,0,1.322172,-1.014232,0,1.311187,-1.011229,0};
VT (0.813343,1.098618,0,0.805314,1.093952,0,0.813565,1.082643,0) {1.322936,-0.979412,0,1.333899,-0.981951,0,1.328213,-0.998101,0};
VT (0.805314,1.093952,0,0.805536,1.077978,0,0.813565,1.082643,0) {1.333899,-0.981951,0,1.339343,-1.000846,0,1.328213,-0.998101,0};
VT (0.805314,1.093952,0,0.797285,1.089287,0,0.805536,1.077978,0) {1.333899,-0.981951,0,1.345013,-0.984460,0,1.339343,-1.000846,0};
VT (0.813565,1.082643,0,0.805536,1.077978,0,0.813787,1.066669,0) {1.328213,-0.998101,0,1.339343,-1.000845,0,1.333313,-1.017216,0};
VT (0.829845,1.076000,0,0.821816,1.071334,0,0.830068,1.060025,0) {1.311187,-1.011228,0,1.322172,-1.014232,0,1.315772,-1.030335,0};
VT (0.821816,1.071334,0,0.822039,1.055360,0,0.830068,1.060025,0) {1.322172,-1.014232,0,1.326916,-1.033559,0,1.315772,-1.030335,0};
VT (0.821816,1.071334,0,0.813787,1.066669,0,0.822039,1.055360,0) {1.322172,-1.014232,0,1.333313,-1.017215,0,1.326916,-1.033559,0};
VT (0.830068,1.060025,0,0.822039,1.055360,0,0.830290,1.044051,0) {1.315772,-1.030334,0,1.326916,-1.033559,0,1.320154,-1.049864,0};
